,open,close,high,low,volume,code
2016-02-17,13.852,13.451,13.852,13.179,16.223,002743
2016-02-18,13.466,13.446,13.931,13.12,14.403666666666666,002743
2016-02-19,13.333,13.496,13.827,13.278,12.607666666666667,002743
2016-02-22,13.907,13.55,14.05,13.481,10.861666666666666,002743
2016-02-23,13.451,13.753,13.753,12.972,15.453333333333333,002743
2016-02-24,13.496,13.733,13.852,13.348,12.135333333333334,002743
2016-02-25,13.664,12.358,13.733,12.358,8.479333333333333,002743
2016-02-26,12.704,11.799,12.704,11.289,10.787,002743
2016-02-29,11.799,10.661,11.799,10.636,8.652,002743
2016-03-01,10.716,10.973,11.082,10.542,7.0873333333333335,002743
2016-03-02,11.047,11.522,11.576,11.017,6.784,002743
2016-03-03,11.571,11.497,11.898,11.383,6.35,002743
2016-03-04,11.294,10.735,11.497,10.35,6.050333333333334,002743
2016-03-07,11.022,11.289,11.715,11.022,6.473,002743
2016-03-08,11.2,11.868,11.868,10.948,8.946,002743
2016-03-09,11.413,11.443,11.695,11.379,5.986666666666666,002743
2016-03-10,11.784,11.947,12.586,11.784,15.82,002743
2016-03-11,11.73,11.656,11.868,11.383,6.926666666666667,002743
2016-03-14,11.774,12.264,12.358,11.774,10.577333333333334,002743
2016-03-15,12.121,12.417,12.813,12.121,11.129,002743
2016-03-16,12.863,12.66,12.882,12.155,9.297666666666666,002743
2016-03-17,12.615,13.011,13.234,12.551,9.946,002743
2016-03-18,13.12,13.605,13.605,13.11,10.538666666666666,002743
2016-03-21,13.714,13.679,13.946,13.357,13.820333333333334,002743
2016-03-22,13.575,14.396,15.049,13.328,19.352666666666668,002743
2016-03-23,14.095,14.198,14.579,13.961,11.224,002743
2016-03-24,14.184,13.897,14.436,13.61,8.668,002743
2016-03-25,13.877,13.956,14.332,13.61,6.71,002743
2016-03-28,13.921,13.63,14.085,13.605,5.761333333333333,002743
2016-03-29,13.545,13.016,13.63,12.937,6.791,002743
2016-03-30,13.021,13.481,13.585,12.853,6.267666666666667,002743
2016-03-31,13.555,13.857,13.991,13.555,9.919666666666666,002743
2016-04-01,13.827,13.986,14.085,13.62,10.031333333333333,002743
2016-04-05,14.248,15.178,15.381,13.862,16.901333333333334,002743
2016-04-06,15.084,14.995,15.163,14.728,11.660666666666666,002743
2016-04-07,14.99,15.638,15.994,14.54,21.402,002743
2016-04-08,15.341,16.845,17.018,15.341,27.575666666666667,002743
2016-04-11,16.721,16.192,16.721,15.831,29.8,002743
2016-04-12,16.103,15.232,16.103,15.183,15.889666666666667,002743
2016-04-13,15.386,15.361,15.782,15.297,12.688666666666666,002743
2016-04-14,15.386,15.46,15.559,15.237,10.424,002743
2016-04-15,15.455,15.549,15.633,15.391,10.754333333333333,002743
2016-04-18,15.514,15.119,15.514,14.817,11.168333333333333,002743
2016-04-19,15.163,15.153,15.227,14.901,6.553333333333334,002743
2016-04-20,15.158,14.174,15.237,13.654,11.995,002743
2016-04-21,14.198,14.06,14.718,14.05,8.072666666666667,002743
2016-04-22,13.892,14.223,14.451,13.714,6.118666666666667,002743
2016-04-25,14.223,14.114,14.223,13.714,4.743,002743
2016-04-26,14.104,14.421,14.421,13.976,8.958,002743
2016-04-27,14.446,14.624,14.807,14.253,9.606666666666667,002743
2016-04-28,14.594,14.584,14.644,13.961,5.3213333333333335,002743
2016-04-29,14.639,14.673,14.906,14.475,6.500666666666667,002743
2016-05-03,14.545,15.099,15.119,14.475,9.488666666666667,002743
