date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-09-21,10.24,10.49,10.49,10.15,375714.31,0.27,2.64,10.272,10.215,10.233,199298.52,193535.19,185320.8
2018-09-20,10.26,10.28,10.22,10.18,163070.52,-0.02,-0.2,10.226,10.185,10.224,157057.22,164959.48,182669.5
2018-09-19,10.28,10.29,10.24,10.2,185506.44,-0.02,-0.2,10.24,10.177,10.216,183277.51,159199.34,182284.88
2018-09-18,10.16,10.26,10.26,10.09,166847.89,0.11,1.08,10.2,10.165,10.209,179188.42,163377.93,179006.33
2018-09-17,10.26,10.28,10.15,10.1,105353.43,-0.11,-1.07,10.152,10.176,10.202,185196.93,163046.2,180557.2
2018-09-14,10.36,10.36,10.26,10.21,164507.8,-0.03,-0.29,10.158,10.185,10.202,187771.87,166820.4,188777.18
2018-09-13,10.17,10.3,10.29,10.11,294171.97,0.25,2.49,10.144,10.192,10.187,172861.74,187681.34,188097.02
2018-09-12,9.99,10.07,10.04,9.95,165061.03,0.02,0.2,10.114,10.18,10.176,135121.18,176886.04,185550.25
2018-09-11,10.22,10.27,10.02,9.98,196890.42,-0.16,-1.57,10.13,10.208,10.169,147567.44,170741.93,184690.71
2018-09-10,10.16,10.23,10.18,10.13,118228.13,-0.01,-0.1,10.2,10.236,10.171,140895.47,165662.57,182780.48
2018-09-07,10.15,10.25,10.19,10.12,89957.16,0.05,0.49,10.212,10.251,10.161,145868.92,177106.41,185832.91
2018-09-06,10.12,10.23,10.14,10.12,105469.16,0.02,0.2,10.24,10.262,10.155,202500.94,200379.53,187921.37
2018-09-05,10.31,10.37,10.12,10.12,227292.31,-0.25,-2.41,10.246,10.255,10.155,218650.89,205370.42,191492.84
2018-09-04,10.21,10.4,10.37,10.18,163530.59,0.13,1.27,10.286,10.252,10.152,193916.43,194634.73,186859.22
2018-09-03,10.27,10.3,10.24,10.17,143095.39,-0.09,-0.87,10.272,10.227,10.139,190429.68,198068.21,189575.02
2018-08-31,10.16,10.36,10.33,10.16,373117.25,0.16,1.57,10.29,10.218,10.123,208343.89,210733.97,191142.5
2018-08-30,10.3,10.41,10.17,10.17,186218.91,-0.15,-1.45,10.284,10.182,10.098,198258.12,188512.7,180985.6
2018-08-29,10.29,10.32,10.32,10.26,103620.0,0.02,0.19,10.264,10.171,10.077,192089.96,194214.46,183916.59
2018-08-28,10.3,10.38,10.3,10.25,146096.84,-0.03,-0.29,10.218,10.13,10.056,195353.04,198639.49,189106.54
2018-08-27,10.33,10.35,10.33,10.21,232666.45,0.03,0.29,10.182,10.106,10.05,205706.74,199898.39,190903.2
2018-08-24,10.06,10.43,10.3,10.02,322688.38,0.23,2.28,10.146,10.071,10.04,213124.05,194559.42,189318.06
2018-08-23,10.13,10.14,10.07,9.98,155378.12,-0.02,-0.2,10.08,10.047,10.025,178767.28,175463.21,179243.67
2018-08-22,10.12,10.14,10.09,10.0,119935.41,-0.03,-0.3,10.078,10.054,10.02,196338.96,177615.25,179077.93
