date,open,close,high,low,volume
2006-12-18,3.905,3.886,3.943,3.867,171180.67
2006-12-19,3.886,3.924,3.981,3.867,276799.39
2006-12-20,3.934,3.934,3.962,3.809,265653.85
2006-12-21,3.962,3.895,4.058,3.886,494209.76
2006-12-22,3.876,3.857,3.914,3.819,134482.79
2006-12-25,3.857,3.895,3.914,3.829,156225.76
2006-12-26,3.914,4.048,4.058,3.895,460212.87
2006-12-27,4.048,4.153,4.201,4.01,456898.45
2006-12-28,4.153,4.153,4.23,4.077,358919.46
2006-12-29,4.134,4.163,4.23,4.125,421618.77
2007-01-04,4.258,4.401,4.583,4.239,867000.06
2007-01-05,4.401,4.545,4.678,4.268,491382.48
2007-01-08,4.545,4.564,4.621,4.43,319915.75
2007-01-09,4.583,5.012,5.022,4.516,696158.9
2007-01-10,5.003,5.022,5.079,4.907,572863.58
2007-01-11,5.012,4.821,5.012,4.812,390291.44
2007-01-12,4.793,4.487,4.812,4.42,434252.51
2007-01-15,4.44,4.659,4.669,4.411,264901.93
2007-01-16,4.678,4.927,4.936,4.631,567092.99
2007-01-17,4.946,4.678,5.022,4.583,540070.84
2007-01-18,4.678,4.621,4.726,4.44,367381.08
2007-01-19,4.621,4.697,4.707,4.478,295841.94
2007-01-22,4.755,4.917,4.927,4.755,462968.13
2007-01-23,4.974,5.413,5.413,4.888,1123937.57
2007-01-24,5.471,5.919,5.958,5.394,1255554.84
2007-01-25,5.824,5.623,5.881,5.538,720249.43
2007-01-26,5.528,5.891,5.977,5.108,534472.72
2007-01-29,5.795,5.986,6.082,5.786,577289.58
2007-01-30,5.986,5.872,6.015,5.576,401100.82
2007-01-31,5.834,5.433,6.034,5.347,460445.27
2007-02-01,5.347,5.347,5.528,5.108,291989.46
2007-02-02,5.347,4.917,5.862,4.812,414710.71
2007-02-05,4.869,4.678,5.041,4.602,318809.13
2007-02-06,4.774,5.146,5.146,4.726,523541.76
2007-02-07,5.232,5.347,5.471,5.232,447128.4
2007-02-08,5.347,5.423,5.881,5.337,439027.52
2007-02-09,5.442,5.165,5.49,5.07,484761.34
2007-02-12,5.251,5.356,5.366,5.232,296364.91
2007-02-13,5.413,5.413,5.49,5.251,350513.87
2007-02-14,5.452,5.623,5.662,5.251,571091.17
2007-02-15,5.728,5.824,5.862,5.69,625702.83
2007-02-16,5.776,6.206,6.292,5.776,744604.41
2007-02-26,6.177,6.559,6.674,6.015,458381.82
2007-02-27,6.559,5.939,6.588,5.9,777141.87
2007-02-28,5.795,6.282,6.397,5.69,503847.11
2007-03-01,6.254,5.996,6.263,5.862,358519.26
2007-03-02,5.996,6.015,6.187,5.843,348251.39
2007-03-05,5.986,5.881,6.091,5.709,349516.0
2007-03-06,5.843,5.862,6.015,5.738,283099.85
2007-03-07,5.929,5.977,5.996,5.862,268324.68
2007-03-08,5.977,6.015,6.044,5.872,256315.74
2007-03-09,6.015,6.063,6.177,5.958,575265.11
2007-03-12,6.187,6.33,6.359,6.091,705286.59
2007-03-13,6.349,6.273,6.387,6.149,492097.01
2007-03-14,6.187,6.072,6.215,5.958,356105.55
2007-03-15,6.005,6.063,6.158,6.005,281198.92
2007-03-16,6.129,5.996,6.225,5.929,348635.75
2007-03-19,5.728,5.929,6.024,5.643,230677.12
2007-03-20,5.977,5.986,6.082,5.862,247044.24
2007-03-21,5.986,5.929,6.015,5.9,309141.61
2007-03-22,5.948,5.986,6.063,5.919,344835.18
2007-03-23,5.986,6.149,6.158,5.9,436707.52
2007-03-26,6.168,6.254,6.254,6.129,527843.84
2007-03-27,6.282,6.225,6.301,6.101,498936.2
2007-03-28,6.32,6.502,6.55,6.225,1421851.53
2007-03-29,6.559,6.32,6.635,6.292,695990.42
2007-03-30,6.015,6.101,6.187,6.015,1340408.34
2007-04-02,6.11,6.32,6.378,6.082,1883337.9
2007-04-03,6.368,6.273,6.425,6.215,1561603.08
2007-04-04,6.282,6.215,6.311,6.139,1192164.42
2007-04-05,6.215,6.34,6.368,6.158,1155488.32
2007-04-06,6.292,6.301,6.397,6.235,1230673.89
2007-04-09,6.387,6.55,6.588,6.359,1834160.81
2007-04-10,6.607,6.931,6.951,6.55,2234627.35
2007-04-11,6.97,6.884,7.161,6.712,2036257.59
2007-04-12,6.874,6.884,6.922,6.741,1356008.88
2007-04-13,6.874,6.702,6.884,6.664,1264587.95
2007-04-16,6.693,6.846,6.874,6.693,965698.3
2007-04-17,6.884,6.836,6.951,6.616,1230902.18
2007-04-18,6.874,7.132,7.161,6.683,1884171.97
2007-04-19,7.094,6.836,7.094,6.55,1859089.92
2007-04-20,6.951,7.342,7.457,6.836,2410552.93
2007-04-23,7.457,7.838,7.915,7.457,1995891.78
2007-04-24,7.877,7.819,8.096,7.648,1850594.98
2007-04-25,7.791,7.762,7.963,7.59,1164488.72
2007-04-26,7.762,7.791,7.858,7.676,795594.56
2007-04-27,7.791,7.562,7.819,7.495,970797.99
2007-04-30,7.542,7.533,7.667,7.39,912806.94
2007-05-08,7.619,7.924,8.039,7.619,1310622.96
2007-05-09,7.943,7.819,7.982,7.542,1207489.86
2007-05-10,7.905,8.364,8.593,7.905,2010920.8
2007-05-14,8.488,8.507,8.784,8.259,1561211.94
2007-05-15,8.507,7.991,8.526,7.943,1295185.62
2007-05-16,7.963,8.049,8.144,7.609,852878.51
