,code,name,time,price,volume,preprice,type
0,601069,西部黄金,15:00:00,15.32,186500,15.32,买盘
1,601069,西部黄金,14:46:09,15.28,42900,15.28,卖盘
2,601069,西部黄金,14:38:54,15.3,71200,15.3,卖盘
3,601069,西部黄金,14:28:03,15.35,59000,15.35,卖盘
4,601069,西部黄金,13:43:57,15.4,103200,15.42,卖盘
5,601069,西部黄金,13:43:09,15.43,64100,15.44,卖盘
6,601069,西部黄金,13:31:36,15.43,53700,15.47,卖盘
7,601069,西部黄金,11:16:35,15.56,50000,15.59,卖盘
8,601069,西部黄金,11:15:05,15.58,46700,15.6,卖盘
9,601069,西部黄金,10:50:02,15.63,47700,15.62,买盘
10,601069,西部黄金,10:42:02,15.62,52900,15.6,买盘
11,601069,西部黄金,10:02:28,15.62,44800,15.62,卖盘
12,601069,西部黄金,9:54:37,15.62,48000,15.64,卖盘
13,601069,西部黄金,9:54:04,15.6,42000,15.59,买盘
14,601069,西部黄金,9:53:31,15.58,41500,15.56,买盘
15,601069,西部黄金,9:31:07,15.58,48100,15.53,买盘
16,601069,西部黄金,9:30:04,15.5,66000,15.5,卖盘
