month,m2,m1,m0
2018-08-01,1788670.43,538324.64,69775.39
2018-07-01,1776196.11,536624.29,69530.59
2018-06-01,1770178.37,543944.71,69589.33
2018-05-01,1743063.79,526276.72,69774.81
2018-04-01,1737683.73,525447.77,71476.46
2018-03-01,1739859.48,523540.07,72692.63
2018-02-01,1729070.12,517035.99,81424.24
2018-01-01,1720814.46,543247.13,74636.29
2017-12-01,1676768.54,543790.15,70645.60
2017-11-01,1670013.40,535565.05,68623.16
2017-10-01,1653434.16,525977.19,68230.69
2017-09-01,1655662.07,517863.04,69748.54
2017-08-01,1645156.60,518113.93,67550.99
2017-07-01,1628996.63,510484.58,67129.04
2017-06-01,1631282.53,510228.17,66977.68
2017-05-01,1601360.42,496389.78,67333.21
2017-04-01,1596331.87,490180.42,68392.60
2017-03-01,1599609.57,488770.09,68605.05
2017-02-01,1582913.07,476527.60,71727.69
2017-01-01,1575945.59,472526.45,86598.61
2016-12-01,1550066.67,486557.24,68303.87
2016-11-01,1530432.06,475405.54,64903.50
2016-10-01,1519485.40,465446.65,64214.93
2016-09-01,1516360.50,454340.25,65068.62
2016-08-01,1510982.91,454543.60,63454.70
2016-07-01,1491558.72,442934.43,63276.01
2016-06-01,1490491.83,443643.70,62818.89
2016-05-01,1461695.11,424250.70,62780.71
2016-04-01,1445209.59,413504.84,64403.17
2016-03-01,1446198.03,411581.31,64651.21
2016-02-01,1424618.68,392504.70,69421.50
2016-01-01,1416319.55,412685.64,72526.51
2015-12-01,1392278.11,400953.44,63216.58
2015-11-01,1373956.01,387618.32,60328.24
2015-10-01,1361020.70,375806.45,59900.48
2015-09-01,1359824.06,364416.90,61022.97
2015-08-01,1356907.98,362793.73,59061.79
2015-07-01,1353210.92,353122.19,59010.71
2015-06-01,1333375.36,356082.86,58604.26
2015-05-01,1307357.63,343085.86,59075.97
2015-04-01,1280779.14,336388.24,60772.46
2015-03-01,1275332.78,337210.52,61949.81
2015-02-01,1257380.48,334439.22,72896.19
2015-01-01,1242710.22,348109.50,63040.51
2014-12-01,1228374.81,348056.41,60259.53
2014-11-01,1208605.95,335114.13,58438.53
2014-10-01,1199236.31,329617.73,57691.64
2014-09-01,1202051.41,327220.21,58844.99
2014-08-01,1197499.08,332023.23,57997.61
2014-07-01,1194249.24,331347.32,57346.50
2014-06-01,1209587.20,341487.45,56951.05
2014-05-01,1182293.96,327839.56,58051.11
2014-04-01,1168812.67,324482.52,58615.54
2014-03-01,1160687.38,327683.74,58329.30
2014-02-01,1131760.83,316625.11,62320.95
2014-01-01,1123521.21,314900.55,76488.60
2013-12-01,1106524.98,337291.05,58574.44
2013-11-01,1079257.06,324821.92,56441.27
2013-10-01,1070242.17,319509.38,55595.72
2013-09-01,1077379.16,312330.34,56492.53
2013-08-01,1061256.43,314085.91,54925.35
2013-07-01,1052212.34,310596.46,54412.78
2013-06-01,1054403.69,313499.82,54063.91
2013-05-01,1042169.16,310204.48,54431.39
