,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300749,顶固集创,0.28,366.67,4.37,6.72,-0.14,2427.25,352.04,,09-04
1,603810,丰山集团,1.43,,10.08,14.87,0.87,8557.67,,,09-04
2,002937,兴瑞科技,0.35,,2.72,12.9,0.26,4832.41,,,09-03
3,600292,远达环保,0.05,25.0,,0.78,,3813.29,26.54,,08-31
4,000913,钱江摩托,0.15,36.36,,2.75,,6738.68,33.04,,08-31
5,601618,中国中冶,0.12,9.09,,3.75,,290719.7,8.69,,08-31
6,002605,姚记扑克,0.11,24.47,,2.74,,4442.39,24.39,,08-31
7,601727,上海电气,0.12,18.48,,3.14,,176602.3,29.95,,08-31
8,600369,西南证券,0.05,-16.67,,1.58,,30469.11,-16.91,,08-31
9,600753,东方银星,0.03,106.25,,2.61,,426.82,108.92,,08-31
10,601866,中远海发,0.03,-68.99,,2.0,,32699.75,-69.0,,08-31
11,600074,*ST保千,-0.09,-160.0,,,,-22217.98,-160.33,,08-31
12,600485,信威集团,-0.15,-161.4,,-4.59,,-44874.46,-161.73,,08-31
13,600843,上工申贝,0.18,-20.47,,4.56,,10016.13,-20.49,,08-31
14,000679,大连友谊,-0.21,-846.43,,-5.16,,-7464.65,-846.02,,08-31
15,600877,ST嘉陵,-0.23,-312.88,,,,-16022.43,-312.81,,08-31
16,603111,康尼机电,-0.63,-493.75,,-17.1,,-60789.19,-628.47,,08-31
17,600165,新日恒力,-0.01,-66.67,,-0.49,,-422.53,-65.02,,08-31
18,002492,恒基达鑫,0.08,-14.82,,2.71,,3305.64,-14.79,,08-31
19,000815,美利云,0.04,-500.0,,1.25,,2511.01,-817.71,,08-31
20,600236,桂冠电力,0.21,75.0,,8.45,,126714.77,70.79,,08-31
21,603337,杰克股份,0.72,1.41,,9.97,,22001.11,57.34,,08-31
22,000061,农产品,-0.01,-273.33,,-0.37,,-1760.8,-273.39,,08-31
23,600654,ST中安,-0.07,75.0,,-4.53,,-9615.6,72.8,,08-31
24,000965,天保基建,0.22,29.41,,4.56,,23884.25,37.49,,08-31
25,000982,*ST中绒,-0.22,27.05,,-23.05,,-39413.57,27.05,,08-31
26,000552,靖远煤电,0.15,21.75,,4.66,,34019.88,21.74,,08-31
27,600037,歌华有线,0.26,-3.45,,2.86,,36582.31,-3.43,,08-31
28,603718,海利生物,0.05,-37.79,,2.95,,3205.12,-40.46,,08-31
29,600469,风神股份,-0.16,-20.0,,-4.8,,-8992.88,-20.06,,08-31
30,600152,维科技术,0.12,-2.4,,3.99,,5565.36,51.42,,08-31
31,600900,长江电力,0.39,5.16,,6.24,,852242.41,5.15,,08-31
32,603165,荣晟环保,0.68,-54.36,,11.04,,12275.25,-32.08,,08-31
33,000780,平庄能源,-0.02,-115.38,,-0.51,,-2310.43,-117.04,,08-31
34,000800,一汽轿车,0.05,-70.1,,1.01,,8091.24,-70.08,,08-31
35,600617,国新能源,0.01,-87.57,,0.34,,1248.65,-87.55,,08-31
36,601021,春秋航空,0.83,20.29,,6.54,,72674.27,31.19,,08-31
37,600241,时代万恒,-0.12,1425.0,,-2.52,,-3578.93,1982.7,,08-31
38,600637,东方明珠,0.47,1.03,,4.41,,124010.36,1.35,,08-31
39,601111,中国国航,0.25,0.0,,3.92,,346851.9,4.27,,08-31
40,002551,尚荣医疗,0.14,0.0,,4.18,,9601.03,0.74,,08-31
41,601258,庞大集团,0.04,0.0,,1.93,,25856.31,-12.82,,08-31
42,000413,东旭光电,0.15,15.38,,2.74,,85829.61,34.98,,08-31
43,000951,中国重汽,0.72,1.41,,8.45,,48371.12,1.01,,08-31
44,601688,华泰证券,0.44,5.53,,3.58,,315889.84,5.53,10派3,08-31
45,000539,粤电力A,0.09,248.98,,1.88,,44883.35,248.65,,08-31
46,000601,韶能股份,0.19,-36.67,,4.48,,20395.85,-36.69,,08-31
47,600068,葛洲坝,0.36,15.29,,6.49,,195297.37,12.64,,08-31
48,600119,长江投资,-0.89,-1875.4,,-43.16,,-27289.04,-1993.12,,08-31
49,000712,锦龙股份,-0.05,-149.09,,-1.31,,-4825.42,-149.88,,08-31
50,600917,重庆燃气,0.12,0.0,,4.96,,19094.29,1.49,,08-31
51,603177,德创环保,-0.02,-133.33,,-0.67,,-353.8,-130.82,,08-31
52,600571,信雅达,0.02,-80.0,,0.47,,711.57,-84.08,,08-31
53,601007,金陵饭店,0.16,-3.09,,3.35,,4707.29,-3.26,,08-31
54,601126,四方股份,0.04,3.23,,0.86,,3372.71,3.15,,08-31
55,600291,西水股份,0.29,-86.43,,2.55,,31972.23,-86.43,,08-31
56,000912,*ST天化,0.46,-760.0,,,,27052.92,-797.28,,08-31
57,002250,联化科技,0.01,-95.0,,0.16,,914.54,-94.57,,08-31
58,600350,山东高速,0.5,89.02,,8.72,,239955.74,88.61,,08-31
59,000976,华铁股份,0.09,3.53,,3.37,,14038.1,3.41,,08-31
60,601111,中国国航,0.25,0.0,,3.92,,346851.9,4.27,,08-31
61,000061,农产品,-0.01,-273.33,,-0.37,,-1760.8,-273.39,,08-31
62,600654,ST中安,-0.07,75.0,,-4.53,,-9615.6,72.8,,08-31
63,000965,天保基建,0.22,29.41,,4.56,,23884.25,37.49,,08-31
64,000982,*ST中绒,-0.22,27.05,,-23.05,,-39413.57,27.05,,08-31
65,000552,靖远煤电,0.15,21.75,,4.66,,34019.88,21.74,,08-31
66,600037,歌华有线,0.26,-3.45,,2.86,,36582.31,-3.43,,08-31
67,603718,海利生物,0.05,-37.79,,2.95,,3205.12,-40.46,,08-31
68,600469,风神股份,-0.16,-20.0,,-4.8,,-8992.88,-20.06,,08-31
69,600152,维科技术,0.12,-2.4,,3.99,,5565.36,51.42,,08-31
70,600900,长江电力,0.39,5.16,,6.24,,852242.41,5.15,,08-31
71,600917,重庆燃气,0.12,0.0,,4.96,,19094.29,1.49,,08-31
72,603177,德创环保,-0.02,-133.33,,-0.67,,-353.8,-130.82,,08-31
73,600571,信雅达,0.02,-80.0,,0.47,,711.57,-84.08,,08-31
74,601007,金陵饭店,0.16,-3.09,,3.35,,4707.29,-3.26,,08-31
75,601126,四方股份,0.04,3.23,,0.86,,3372.71,3.15,,08-31
76,002551,尚荣医疗,0.14,0.0,,4.18,,9601.03,0.74,,08-31
77,601258,庞大集团,0.04,0.0,,1.93,,25856.31,-12.82,,08-31
78,000413,东旭光电,0.15,15.38,,2.74,,85829.61,34.98,,08-31
79,000951,中国重汽,0.72,1.41,,8.45,,48371.12,1.01,,08-31
80,601688,华泰证券,0.44,5.53,,3.58,,315889.84,5.53,10派3,08-31
81,000539,粤电力A,0.09,248.98,,1.88,,44883.35,248.65,,08-31
82,000601,韶能股份,0.19,-36.67,,4.48,,20395.85,-36.69,,08-31
83,600068,葛洲坝,0.36,15.29,,6.49,,195297.37,12.64,,08-31
84,600119,长江投资,-0.89,-1875.4,,-43.16,,-27289.04,-1993.12,,08-31
85,000712,锦龙股份,-0.05,-149.09,,-1.31,,-4825.42,-149.88,,08-31
86,000737,*ST南风,-0.21,-28.58,,,,-11423.45,-28.59,,08-31
87,600182,S佳通,0.12,132.44,,4.72,,4140.86,132.38,,08-31
88,600199,金种子酒,0.01,17.39,,0.27,,600.58,18.0,,08-31
89,600611,大众交通,0.12,-1.53,,3.08,,27936.16,2.1,,08-31
90,601012,隆基股份,0.47,-24.19,,8.84,,130698.48,5.73,,08-31
91,000835,长城动漫,0.02,-79.66,,1.22,,594.33,-79.67,,08-31
92,603336,宏辉果蔬,0.19,-26.92,,4.24,,3352.43,-4.02,,08-31
93,600291,西水股份,0.29,-86.43,,2.55,,31972.23,-86.43,,08-31
94,000912,*ST天化,0.46,-760.0,,,,27052.92,-797.28,,08-31
95,002250,联化科技,0.01,-95.0,,0.16,,914.54,-94.57,,08-31
96,600350,山东高速,0.5,89.02,,8.72,,239955.74,88.61,,08-31
97,000976,华铁股份,0.09,3.53,,3.37,,14038.1,3.41,,08-31
98,600751,海航科技,-0.0,-103.49,,-0.01,,-83.0,-103.34,,08-31
99,600787,中储股份,0.04,-19.73,4.84,0.74,,7883.95,-19.72,,08-31
100,000657,中钨高新,0.12,25.51,,2.35,,7362.77,25.53,,08-31
101,600145,*ST新亿,0.03,1033.33,,0.02,,4669.12,1046.67,,08-31
102,002427,*ST尤夫,0.06,-81.26,,1.27,,2314.73,-81.16,,08-31
103,000018,神州长城,0.08,-47.0,,6.61,,14399.95,-46.39,,08-31
104,000036,华联控股,0.33,-63.88,,8.27,,38037.36,-63.84,,08-31
105,600653,申华控股,-0.11,26.79,,-13.02,,-22116.76,26.75,,08-31
106,000150,宜华健康,0.39,70.53,,7.47,,17539.59,70.54,,08-31
107,600690,青岛海尔,0.8,9.78,,14.1,,485879.55,9.75,,08-31
108,000425,徐工机械,0.15,86.08,,4.73,,110403.01,100.62,,08-31
109,600707,彩虹股份,-0.04,-63.0,,-0.66,,-13376.46,81.01,,08-31
110,000981,银亿股份,0.17,55.96,,3.76,,68331.98,105.03,,08-31
111,600775,南京熊猫,0.06,13.65,,1.51,,5101.95,13.67,,08-31
112,600811,东方集团,0.14,30.08,,2.6,,52538.48,30.11,,08-31
113,600078,澄星股份,0.02,-33.33,,0.57,,1077.0,-46.61,,08-31
