,month,cpi
0,2018.8,102.3
1,2018.7,102.1
2,2018.6,101.85
3,2018.5,101.75
4,2018.4,101.8
5,2018.3,102.06
6,2018.2,102.9
7,2018.1,101.47
8,2017.12,102.0
9,2017.11,101.73
10,2017.10,101.87
11,2017.9,101.6
12,2017.8,101.77
13,2017.7,101.4
14,2017.6,101.5
15,2017.5,101.52
16,2017.4,101.17
17,2017.3,100.92
18,2017.2,100.8
19,2017.1,102.55
20,2016.12,102.08
21,2016.11,102.25
22,2016.10,102.1
23,2016.9,101.9
24,2016.8,101.34
25,2016.7,101.77
26,2016.6,101.88
27,2016.5,102.04
28,2016.4,102.33
29,2016.3,102.3
30,2016.2,102.3
31,2016.1,101.8
32,2015.12,101.64
33,2015.11,101.49
34,2015.10,101.27
35,2015.9,102.2
36,2015.8,102.8
37,2015.7,101.65
38,2015.6,101.39
39,2015.5,101.23
40,2015.4,101.51
41,2015.3,101.38
42,2015.2,101.43
43,2015.1,100.76
44,2014.12,102.62
45,2014.11,101.44
46,2014.10,101.6
47,2014.9,101.63
48,2014.8,101.99
49,2014.7,102.29
50,2014.6,102.34
51,2014.5,102.48
52,2014.4,101.8
53,2014.3,102.38
54,2014.2,101.95
55,2014.1,102.49
56,2013.12,102.65
57,2013.11,103.02
58,2013.10,103.21
59,2013.9,103.05
60,2013.8,102.57
61,2013.7,102.67
62,2013.6,102.67
63,2013.5,102.1
64,2013.4,102.39
65,2013.3,102.07
66,2013.2,103.22
67,2013.1,102.03
68,2012.12,102.52
69,2012.11,102.04
70,2012.10,101.72
71,2012.9,101.91
72,2012.8,102.05
73,2012.7,101.78
74,2012.6,102.15
75,2012.5,103.0
76,2012.4,103.37
77,2012.3,103.59
78,2012.2,103.16
79,2012.1,104.55
80,2011.12,104.1
81,2011.11,104.2
82,2011.10,105.5
83,2011.9,106.1
84,2011.8,106.2
85,2011.7,106.5
86,2011.6,106.4
87,2011.5,105.5
88,2011.4,105.3
89,2011.3,105.4
90,2011.2,104.9
91,2011.1,104.9
92,2010.12,104.6
93,2010.11,105.1
94,2010.10,104.4
95,2010.9,103.6
96,2010.8,103.5
97,2010.7,103.3
98,2010.6,102.9
99,2010.5,103.1
100,2010.4,102.8
101,2010.3,102.4
102,2010.2,102.7
103,2010.1,101.5
104,2009.12,101.9
105,2009.11,100.6
106,2009.10,99.5
107,2009.9,99.2
108,2009.8,98.8
109,2009.7,98.2
110,2009.6,98.3
111,2009.5,98.6
112,2009.4,98.5
113,2009.3,98.8
114,2009.2,98.4
115,2009.1,101.0
116,2008.12,101.2
117,2008.11,102.4
118,2008.10,104.0
119,2008.9,104.6
120,2008.8,104.9
121,2008.7,106.3
122,2008.6,107.1
123,2008.5,107.7
124,2008.4,108.5
125,2008.3,108.3
126,2008.2,108.7
127,2008.1,107.1
128,2007.12,106.5
129,2007.11,106.9
130,2007.10,106.5
131,2007.9,106.2
132,2007.8,106.5
133,2007.7,105.6
134,2007.6,104.4
135,2007.5,103.4
136,2007.4,103.0
137,2007.3,103.3
138,2007.2,102.7
139,2007.1,102.2
140,2006.12,102.8
141,2006.11,101.9
142,2006.10,101.4
143,2006.9,101.5
144,2006.8,101.3
145,2006.7,101.0
146,2006.6,101.5
147,2006.5,101.4
148,2006.4,101.2
149,2006.3,100.8
150,2006.2,100.9
151,2006.1,101.9
152,2005.12,101.6
153,2005.11,101.3
154,2005.10,101.2
155,2005.9,100.9
156,2005.8,101.3
157,2005.7,101.8
158,2005.6,101.6
159,2005.5,101.8
160,2005.4,101.8
161,2005.3,102.7
162,2005.2,103.9
163,2005.1,101.9
164,2004.12,102.4
165,2004.11,102.8
166,2004.10,104.3
167,2004.9,105.2
168,2004.8,105.3
169,2004.7,105.3
170,2004.6,105.0
171,2004.5,104.4
172,2004.4,103.8
173,2004.3,103.0
174,2004.2,102.1
175,2004.1,103.2
176,2003.12,103.2
177,2003.11,103.0
178,2003.10,101.8
179,2003.9,101.1
180,2003.8,100.9
181,2003.7,100.5
182,2003.6,100.3
183,2003.5,100.7
184,2003.4,101.0
185,2003.3,100.9
186,2003.2,100.2
187,2003.1,100.4
188,2002.12,99.6
189,2002.11,99.3
190,2002.10,99.2
191,2002.9,99.3
192,2002.8,99.3
193,2002.7,99.1
194,2002.6,99.2
195,2002.5,98.9
196,2002.4,98.7
197,2002.3,99.2
198,2002.2,100.0
199,2002.1,99.0
200,2001.12,99.7
201,2001.11,99.7
202,2001.10,100.2
203,2001.9,99.9
204,2001.8,101.0
205,2001.7,101.5
206,2001.6,101.4
207,2001.5,101.7
208,2001.4,101.6
209,2001.3,100.8
210,2001.2,100.0
211,2001.1,101.2
212,2000.12,101.5
213,2000.11,101.3
214,2000.10,100.0
215,2000.9,100.0
216,2000.8,100.3
217,2000.7,100.5
218,2000.6,100.5
219,2000.5,100.1
220,2000.4,99.7
221,2000.3,99.8
222,2000.2,100.7
223,2000.1,99.8
224,1999.12,99.0
225,1999.11,99.1
226,1999.10,99.4
227,1999.9,99.2
228,1999.8,98.7
229,1999.7,98.6
230,1999.6,97.9
231,1999.5,97.8
232,1999.4,97.8
233,1999.3,98.2
234,1999.2,98.7
235,1999.1,98.8
236,1998.12,99.0
237,1998.11,98.8
238,1998.10,98.9
239,1998.9,98.5
240,1998.8,98.6
241,1998.7,98.6
242,1998.6,98.7
243,1998.5,99.0
244,1998.4,99.7
245,1998.3,100.7
246,1998.2,99.9
247,1998.1,100.3
248,1997.12,100.4
249,1997.11,101.1
250,1997.10,101.5
251,1997.9,101.8
252,1997.8,101.9
253,1997.7,102.7
254,1997.6,102.8
255,1997.5,102.8
256,1997.4,103.2
257,1997.3,104.0
258,1997.2,105.6
259,1997.1,105.9
260,1996.12,107.0
261,1996.11,106.9
262,1996.10,107.0
263,1996.9,107.4
264,1996.8,108.1
265,1996.7,108.3
266,1996.6,108.6
267,1996.5,108.9
268,1996.4,109.7
269,1996.3,109.8
270,1996.2,109.3
271,1996.1,109.0
272,1995.12,110.1
273,1995.11,111.2
274,1995.10,112.1
275,1995.9,113.2
276,1995.8,114.5
277,1995.7,116.7
278,1995.6,118.2
279,1995.5,120.3
280,1995.4,120.7
281,1995.3,121.3
282,1995.2,122.4
283,1995.1,124.1
284,1994.12,125.5
285,1994.11,127.5
286,1994.10,127.7
287,1994.9,127.3
288,1994.8,125.8
289,1994.7,124.0
290,1994.6,122.6
291,1994.5,121.3
292,1994.4,121.7
293,1994.3,122.4
294,1994.2,123.2
295,1994.1,121.1
296,1993.12,118.8
297,1993.11,116.7
298,1993.10,115.9
299,1993.9,115.7
300,1993.8,116.0
301,1993.7,116.2
302,1993.6,115.1
303,1993.5,114.0
304,1993.4,112.6
305,1993.3,112.2
306,1993.2,110.5
307,1993.1,110.3
308,1992.12,108.8
309,1992.11,108.2
310,1992.10,107.9
311,1992.9,107.5
312,1992.8,105.8
313,1992.7,105.2
314,1992.6,104.8
315,1992.5,104.7
316,1992.4,107.1
317,1992.3,105.3
318,1992.2,105.3
319,1992.1,105.5
320,1991.12,104.5
321,1991.11,104.4
322,1991.10,104.8
323,1991.9,104.5
324,1991.8,104.9
325,1991.7,104.7
326,1991.6,104.4
327,1991.5,103.6
328,1991.4,101.3
329,1991.3,101.6
330,1991.2,101.0
331,1991.1,102.2
332,1990.12,104.3
333,1990.11,103.7
334,1990.10,103.1
335,1990.9,102.9
336,1990.8,102.5
337,1990.7,101.1
338,1990.6,101.1
339,1990.5,102.7
340,1990.4,103.2
341,1990.3,103.4
342,1990.2,104.4
343,1990.1,104.3
